year,netinc_pos_base,netinc_neg_base,intpaid_pos_base,intpaid_neg_base,dep_pos_base,dep_neg_base,ebitda_pos_base,ebitda_neg_base
2014,374.540376,57.482289,6.3439381280054725,3.9864460230827956,20.688833500891054,11.256558500079418,401.5731476288965,-42.23928447683778
2015,394.7067990830114,60.57731488782026,6.683138274173883,4.199594866346702,22.56051838019698,12.274920909768387,423.95045573738224,-44.10279911170517
2016,410.3261809437919,62.97448720796216,6.878857969789115,4.322582510059681,22.629429802458397,12.312414829180318,439.8344687160394,-46.33948986872216
2017,430.64023523531733,66.09217067914861,7.344577108276447,4.6152341989688965,23.615398890341865,12.84886937199213,461.6002112339356,-48.62806710818758
2018,445.1671461530942,68.32167688238077,7.989545407774507,5.020523667540192,23.762979472113127,12.929166284435862,476.91967103298185,-50.37198693040472
2019,459.13305847851785,70.46508426882144,8.785820464154236,5.520892282071904,24.018258431937813,13.068060656850925,491.9371373746099,-51.87613132989862
2020,472.5674984532913,72.52692435514388,9.573683710620246,6.0159750275581025,22.658354035190236,12.328152174536298,504.7995361991018,-54.18279715304948
2021,488.1868803140717,74.92409667528577,10.292843906731758,6.467885693441209,24.041844227038165,13.080893419138203,522.5215684478417,-55.37531756270636
2022,506.34551896129284,77.71097942932599,10.940190937319127,6.874669924871098,25.296686519471486,13.763638807975186,542.5823964180834,-57.072670696479705
2023,526.3643108357902,80.78334773378006,11.50514253527618,7.2296779664798265,26.559537491563265,14.450741628132784,564.4289908626296,-59.10292813916745
2024,547.7708360703192,84.06869732187624,12.017719710812221,7.5517746202788585,27.9253637355776,15.193872120049061,587.713919516709,-61.323050581548316
2025,570.2698322478518,87.52171302688215,12.505060562716675,7.8580131052325415,29.241624356263674,15.910034521252854,612.0165171668322,-63.753665400396756
2026,593.8317731266851,91.13786333212455,12.983069217944884,8.158387362387025,30.51930465647821,16.60520580981992,637.3341470011081,-66.37427015991761
2027,618.4861849485218,94.9216797542767,13.460916632355188,8.458660297964228,31.782615877553305,17.292559046203507,663.7297174584303,-69.17046041010896
