year,Kfa,L,i_t,i_pr,ID_Scorp,ID_sp,ID_partner
1960,434725,55.000866,3.95,1.07,,,
1961,457537,61.535736,3.95,1.19,,,
1962,482180,69.25616,3.95,1.07,,,
1963,495127,78.047126,4,0.85,,,
1964,521653,86.132764,4.19,0.64,,,
1965,556912,95.553668,4.28,0.58,,,
1966,597841,105.263214,4.93,0.74,,,
1967,631474,115.702665,5.07,1.16,,,
1968,685651,126.48493,5.64,1.29,,,
1969,734621,142.103736,6.67,1.14,,,
1970,778646,148.589887,7.35,1.76,,,
1971,861887,170.851641,6.16,2.4,,,
1972,969766,202.923204,6.21,1.95,,,
1973,1137625,230.541114,6.85,1.4,,,
1974,1292573,267.58221,7.56,1.94,,,
1975,1413739,288.014217,7.99,2.62,,,
1976,1568526,316.840336,7.61,2.14,,,
1977,1762668,360.3955,7.42,1.55,,,
1978,2038873,418.2635,8.41,1.08,,,
1979,2378705,491.209367,9.43,1.25,,,
1980,2689187,555.115222,11.43,2.21,,,
1981,2883149,620.93846,13.92,2.13,,,
1982,3005182,677.012264,13.01,3.11,,,
1983,3120897,749.680799,11.1,2.45,,,
1984,3221720,863.57946,12.46,1.75,,,
1985,3353945,933.632801,10.62,2.09,,,
1986,3498212,1000.90494,7.67,2.71,,,
1987,3669627,1058.038263,8.39,2.19,,,
1988,3875578,1141.785101,8.85,1.98,,,
1989,4065893,1189.337761,8.49,1.68,,,
1990,4113786,1190.54091,8.55,1.81,,,
1991,4041113,1162.262598,7.86,1.94,,,
1992,3990549,1134.099134,7.01,1.97,,,
1993,4086388,1114.565156,5.87,2.06,,,
1994,4268954,1127.86037,7.09,1.54,,,
1995,4438711,1176.39069,6.57,1.62,,,
1996,4626005,1243.87402,6.44,1.62,,,
1997,5063347,1346.979248,6.35,1.51,,,
1998,5449320,1526.406112,5.26,1.96,33.293529,10.542436,34.932739
1999,5807012,1717.587176,5.65,2.23,35.773946,10.555263,39.67119
2000,6372769,1913.706682,6.03,2.34,42.748041,11.456204,47.803482
2001,6731422,2074.597588,5.02,2.93,45.124104,11.886891,48.847548
2002,7264460,2229.299181,4.61,3.19,35.27419,10.91746,44.481594
2003,7911738,2304.178316,4.01,2.75,33.870651,10.068975,43.985199
2004,9171710,2554.348904,4.27,2.12,35.045967,10.401767,46.847237
2005,10388376,2896.740049,4.29,1.77,44.701827,11.471089,56.345152
2006,10823926,3312.711085,4.8,1.69,58.72992,12.732192,69.113153
2007,10796722,3771.06027,4.63,1.85,66.135933,14.259613,76.990228
2008,9617769,4096.19493,3.66,3.78,59.132439,13.893433,82.196142
2009,8523938,3987.170532,3.26,4.04,47.605532,11.872423,71.95511
2010,8638081,3949.578,3.22,2.82,42.798567,10.598636,70.717842
2011,8964884,3884.386104,2.78,2.88,39.832348,9.811349,67.745127
2012,9700322,4061.16152,1.8,3.13,38.385094,8.920886,68.733548
2013,10706581,4162.55348,2.35,2.75,36.034264,8.563078,66.841488
2014,11562403,4439.46008,2.54,2.31,,,
2015,12339600,4752.5412,2.14,2.86,,,
2016,13124570,5058.305634,1.84,2.88,,,
,,,2.431,2.88,,,
,,,2.813,2.88,,,
,,,3.235,2.88,,,
,,,3.478,2.88,,,
,,,3.61,2.88,,,
,,,3.688,2.88,,,
,,,3.7,2.88,,,
,,,3.7,2.88,,,
,,,3.7,2.88,,,
,,,3.7,2.88,,,
,,,3.7,2.88,,,
