,year,assets,ppe,earnings,taxrt,subpartF,accum,reprate_e,reprate_a
0,2014,20864.415430959,1206.756123114251,946.619322944,0.12849169430930318,81.198701159,1970.4368375446998,0.12914884228437729,0.0
1,2015,0.0,0.0,0.0,0.12849169430930318,0.0,0.0,0.12914884228437729,0.0
2,2016,0.0,0.0,0.0,0.12849169430930318,0.0,0.0,0.12914884228437729,0.0
3,2017,0.0,0.0,0.0,0.12849169430930318,0.0,0.0,0.12914884228437729,0.0
4,2018,0.0,0.0,0.0,0.12849169430930318,0.0,0.0,0.12914884228437729,0.0
5,2019,0.0,0.0,0.0,0.12849169430930318,0.0,0.0,0.12914884228437729,0.0
6,2020,0.0,0.0,0.0,0.12849169430930318,0.0,0.0,0.12914884228437729,0.0
7,2021,0.0,0.0,0.0,0.12849169430930318,0.0,0.0,0.12914884228437729,0.0
8,2022,0.0,0.0,0.0,0.12849169430930318,0.0,0.0,0.12914884228437729,0.0
9,2023,0.0,0.0,0.0,0.12849169430930318,0.0,0.0,0.12914884228437729,0.0
10,2024,0.0,0.0,0.0,0.12849169430930318,0.0,0.0,0.12914884228437729,0.0
11,2025,0.0,0.0,0.0,0.12849169430930318,0.0,0.0,0.12914884228437729,0.0
12,2026,0.0,0.0,0.0,0.12849169430930318,0.0,0.0,0.12914884228437729,0.0
13,2027,0.0,0.0,0.0,0.12849169430930318,0.0,0.0,0.12914884228437729,0.0
