year,dep_Ccorp,dep_Scorp,dep_sp,dep_partner
2000,397.843062,61.551752,32.196159,58.912624
2001,368.066755,67.038799,33.425567,72.199421
2002,358.026845,78.299503,36.642027,82.897056
2003,390.910491,82.261523,41.754963,83.564737
2004,412.076273,86.58853,42.900776,90.230757
2005,362.021311,66.795074,39.080205,70.834176
2006,372.986307,76.305065,39.004511,78.611668
2007,403.026142,82.440013,39.645972,85.921208
2008,411.512242,105.468761,41.446328,129.739268
2009,368.117922,90.415004,34.546428,125.349711
2010,415.357768,89.426819,35.123984,130.060596
2011,438.952878,109.851286,35.615262,172.267579
2012,441.19376,82.560798,34.244946,136.84183
2013,462.642342,89.155046,35.378629,157.618397
