year,Kstock,Investment,FixedInv,TrueDep,taxDep,FixedK
2014,6917.297306199169,314.5053579537767,278.55316114707097,163.6045984294348,255.22445653157558,2635.313392829319
2015,7089.1779036935395,347.0267007020031,294.81550409227765,174.75684543795361,277.8256037112387,2758.4252879360574
2016,7348.202297815623,315.0096520672234,300.4851914238589,187.03999395767832,285.47485304875,2912.8739960248968
2017,7603.846340030181,326.60908396540606,311.54979687788364,198.21020595369353,297.99202491129904,3078.0011828048628
2018,7881.495165674959,340.2686074430558,324.5795072375661,209.47558223429317,304.28879996495925,3252.9409208954876
2019,8172.037267615659,352.5936380995238,336.3362555524507,220.9067349766153,311.3748121111869,3435.196955471686
2020,8472.001714840233,364.752914261092,347.9348919783742,232.31488631797458,308.899178864294,3622.5810221194065
2021,8779.66737275268,378.49193224139765,361.04043150929306,243.69557450047142,321.75187402301896,3814.3287160463356
2022,9093.697417516343,393.4504297198938,375.3092227947106,255.20744988475198,333.9328908267542,4010.7235722444566
2023,9416.644508479625,409.0736365503857,390.2120750225943,267.0331705378637,346.8796483306658,4213.4710719207205
2024,9749.564896674765,425.3717009672546,405.75866851267614,279.2241383754613,361.7352703271311,4423.249693023217
2025,10093.429450201073,442.2904990537989,421.89737489305077,291.8246654107739,376.7639058312932,4640.689213549704
2026,10448.517121237554,459.90614256788064,438.70079656171043,304.8491276360576,391.8992387146391,4866.057905996306
2027,10814.697493112246,478.19664366833945,456.1479594925682,318.3068060497292,407.2473565226875,5099.460696111151
