year,ebitda,taxDep,nid,sec199,taxinc,amt,pymtc,ftc,gbc,tau,taxbc,taxrev
2014,2397.819134245384,851.391498137351,231.44199825223086,31.09063010024651,1283.8950077555555,4.457941324862435,3.7002284853672665,101.58237649828408,23.955904196678013,0.34700000000000003,445.5115676911778,320.7309998357108
2015,2415.4016760180357,880.2228695056083,243.98113062450705,31.98500007230896,1259.2126758156114,4.529304826997494,3.7997222755875337,91.79469244928912,24.64503276364597,0.34700000000000003,436.9467985080172,321.236655846492
2016,2412.741159828753,852.2931494387947,248.0010935596021,31.487084016433855,1280.9598328139225,4.524315889158266,3.8955223327262156,96.31814261227956,24.26137925472473,0.34700000000000003,444.49306198643114,324.54233367585897
2017,2422.1108037997055,876.5218070647239,268.2615812750811,31.34992223500411,1245.9774932248965,4.5418856267659855,3.9780879841637553,99.93594601771636,24.15569357113511,0.34700000000000003,432.35419014903914,308.8263482027899
2018,2426.7377884767193,860.4372537480913,295.57810379724157,31.69188722432211,1239.0305437070645,4.550562040399427,4.052119149343853,96.60004937114472,24.419183905564033,0.34700000000000003,429.9435986663514,309.42280828069823
2019,2449.6413626279364,852.4096071849469,328.93033620081974,31.953058287592444,1236.3483609545772,4.593510287884964,4.117568709988104,97.9860909355653,24.620421029111398,0.34700000000000003,429.0128812512383,306.8823108644584
2020,2484.8064461732397,760.6331485812626,362.4429040191371,32.07894649794577,1329.6514470748943,4.659451031499121,4.180063667233282,103.55374942315318,24.717420218159408,0.34700000000000003,461.3890521349884,333.5972698579416
2021,2536.2816507050165,818.8656015505137,393.6912423569322,32.47915827115859,1291.245648526412,4.7559761331711625,4.243011083943668,109.00394676121387,25.025790774386664,0.34700000000000003,448.062240038665,314.54546755229194
2022,2605.9177700940713,870.5716531533586,422.5119191148343,33.14617789317995,1279.6880199326986,4.886556158354464,4.310367520759722,114.80652754785615,25.539741701432092,0.34700000000000003,444.05174291664645,304.28166230495293
2023,2700.770955972851,920.5042585721956,448.47754795989556,34.142010004930164,1297.6471394358298,5.064422637840022,4.386025723244913,121.61927422043202,26.307048719274565,0.34700000000000003,450.28355738423295,303.03563135912145
2024,2803.9527142702545,973.0443458746131,472.65665471960125,35.34828211010682,1322.9034315659335,5.257906661865776,4.475104694576285,127.49233169679047,27.23650363522714,0.34700000000000003,459.04749075337895,305.10145738865083
2025,2911.6457826277465,1022.4771593546848,496.0781999283875,36.565827786359904,1356.5245955583143,5.459850189184135,4.57789288907145,134.14063276002827,28.174645045721327,0.34700000000000003,470.7140346587351,309.2807141530982
2026,3030.096590359295,1069.0722911627363,519.3548619428536,38.001329170090386,1403.6681080836147,5.681966378200247,4.693700976287061,140.2486125354411,29.280725350686698,0.34700000000000003,487.07283350501433,318.5317610207997
2027,3151.670612747828,1113.4479040926976,542.8464003652075,39.51762447986853,1455.8586838100541,5.909939146418933,4.8234681723206005,145.98071663236703,30.449058866533626,0.34700000000000003,505.18296328208885,329.83965875728654
