items,ALL,FARM,FFRA,MINE,UTIL,CNST,DMAN,NMAN,WHTR,RETR,TRAN,INFO,FINC,FINS,INSU,REAL,LEAS,PROF,MGMT,ADMN,EDUC,HLTH,ARTS,ACCM,OTHS
Cash,258.352318,2.429956,1.536077,6.68309,1.215151,49.583796,19.129655,9.469706,24.405945,28.59461,5.407916,5.385754,7.33186,7.906877,6.674458,8.676482,1.929913,22.163815,13.972048,7.579809,1.178569,9.691586,3.363259,9.586359,4.273052
Inventories,326.335406,2.556532,1.101215,1.043024,0.380636,52.8098,41.931375,21.637348,85.761834,108.068502,0.968422,0.636985,0.0,0.0,0.0,0.190748,1.144876,2.631077,0.010768,0.815391,0.075118,0.526489,0.559973,1.628527,1.856767
Land,47.774766,3.222464,0.367892,0.918341,0.095508,10.361831,2.517119,1.306664,3.111006,5.96741,1.048632,0.405752,0.43213,0.265904,0.071589,6.268533,0.269623,1.214498,1.317995,0.757883,0.088714,0.721567,1.089437,4.379173,1.568657
Total receipts,4746.201049,28.48572,19.680278,45.210081,9.776238,807.264414,372.282955,228.52576,946.175964,950.409347,134.900317,53.065283,36.960989,24.137281,44.812113,76.736552,20.437027,309.212931,29.297197,165.628053,11.802486,168.838688,31.75264,140.563771,89.565987
Business receipts,4644.516072,25.738669,19.081815,41.502324,9.62217,799.820815,368.305263,226.175822,937.614573,937.114908,132.035593,51.679213,30.586545,21.133904,42.963256,72.323385,19.299089,301.97499,9.007651,164.218581,11.652329,165.402842,29.992428,138.385777,88.484691
"Net gain, noncapital assets",10.364099,0.118028,0.198585,0.988117,0.041743,0.879673,0.831413,0.413847,1.048729,0.811631,1.084277,0.216179,0.444481,0.031705,0.341129,0.74895,0.803025,0.194088,0.246489,0.148049,0.000583,0.123938,0.085732,0.366519,0.195508
Other receipts,89.891794,2.60375,0.397277,2.67147,0.105892,6.457641,3.041177,1.862003,7.414771,12.377464,1.767333,1.099351,5.856876,2.934966,1.497546,3.640967,0.331386,7.003139,19.603407,1.235485,0.147881,3.224973,1.657285,1.804186,0.878492
Total deductions,4371.680306,25.648629,17.711936,33.132048,9.188682,747.428995,338.377775,210.77674,904.833467,918.846614,125.143072,45.739184,30.599573,16.583562,36.888784,62.629166,17.534641,266.804525,18.621732,152.418643,10.115318,144.196668,26.193434,129.856612,82.07158
Cost of goods sold,2902.682792,11.550383,9.984594,17.81438,8.027585,590.923587,249.082044,153.513319,748.146738,739.264669,53.521762,16.725437,3.526498,0.265535,7.268016,13.063578,6.573994,89.305851,0.061968,73.817291,1.809575,15.85923,4.964973,52.072471,35.28637
Compensation of officers,171.482978,0.488638,0.544069,1.052067,0.127337,22.758542,9.962812,5.218436,17.610494,13.458199,3.643814,3.981102,1.670592,3.929102,5.170023,6.215922,0.675501,30.307904,1.513486,6.102125,0.730974,24.507794,3.076865,3.815279,4.906862
Salaries and wages,455.607885,2.283406,1.392059,2.823036,0.225591,37.878995,25.268178,15.79874,53.955448,63.462648,17.237287,8.83039,10.434661,5.65363,11.542985,20.289441,2.05212,53.723681,3.06888,34.421742,3.061975,37.76607,5.567049,24.745443,14.120605
Repairs,26.401931,0.579353,0.488222,0.652359,0.020447,2.900621,1.795404,1.191635,2.789056,3.400544,2.280159,0.339851,0.197462,0.091881,0.254963,0.661334,0.432524,1.522061,0.260924,1.113034,0.153355,1.495729,0.391865,2.456443,0.930996
Bad debts,6.77163,0.006177,0.00261,0.042203,0.004978,0.654992,0.4355,0.243575,1.070313,0.877083,0.11719,0.093605,1.460156,0.009859,0.078281,0.10657,0.06007,0.3775,0.481655,0.180199,0.023322,0.234164,0.02717,0.053269,0.129701
Rent paid on business property,106.155303,1.482941,0.255407,1.010439,0.053971,11.158988,5.793204,3.759987,10.167329,17.185794,7.773189,1.274578,1.148569,0.568545,1.45385,2.343611,0.942478,10.483627,0.218911,2.934218,0.828317,8.90199,1.526612,9.15508,5.732876
Taxes paid,88.003573,0.438204,0.321252,1.295535,0.053861,11.680935,6.875795,4.128585,9.994265,11.359312,3.588288,1.213919,0.940367,0.541515,1.101885,1.517476,0.512207,8.517813,0.619441,6.897134,0.540838,5.844515,1.153963,6.062997,2.798457
Interest paid,43.927328,0.511386,0.210521,0.504419,0.062217,4.236334,2.917505,1.942809,5.154978,5.791806,1.254321,0.394013,3.568261,0.4717,0.349632,0.864769,0.557702,1.410886,8.058018,0.85641,0.076999,1.299679,0.393952,2.198977,0.824295
Amortization,4.659461,0.029557,0.016806,0.053913,0.013859,0.150356,0.359717,0.262039,0.589936,0.628365,0.064841,0.219327,0.067648,0.029963,0.206463,0.072455,0.023105,0.347137,0.115731,0.182515,0.01655,0.335489,0.16035,0.479852,0.232965
Depreciation,53.076813,0.954058,0.644031,1.529969,0.072588,8.21929,6.108407,4.284814,5.200677,5.183941,4.625815,0.891804,0.317417,0.166206,0.269427,0.762354,2.607992,2.112899,0.463003,2.023612,0.134585,1.79044,0.693866,2.581288,1.436212
Depletion,0.512436,0.021582,0.0,0.293667,1.6e-05,0.031189,0.083195,0.051629,0.014751,0.004697,0.000308,0.004975,0.0,1.5e-05,0.0,0.001514,0.0,0.000467,3e-06,0.000182,0.0,0.000213,0.0,0.003615,0.000417
Advertising,39.392656,0.078926,0.077848,0.059316,0.014886,2.334146,2.303444,2.302934,3.878188,11.000028,0.306112,1.057256,0.717031,0.247654,0.463909,1.786124,0.179951,3.660977,0.2727,1.189834,0.314925,1.815968,0.537527,3.405534,1.387151
"Pension, profit sharing, stock, annuity",19.477771,0.083268,0.040343,0.210848,0.018555,2.675939,1.82608,0.852909,2.400641,1.164822,0.447461,0.456499,0.108089,0.255774,0.505743,0.562714,0.089215,3.783985,0.209501,0.562303,0.057638,2.405332,0.404006,0.184141,0.17171
