items,ALL,FARM,FFRA,MINE,UTIL,CNST,DMAN,NMAN,WHTR,RETR,TRAN,INFO,FINC,FINS,INSU,REAL,LEAS,PROF,MGMT,ADMN,EDUC,HLTH,ARTS,ACCM,OTHS
Cash,363.586613,3.681966,2.072608,7.484389,1.26475,64.35521,25.140511,15.213915,31.256968,36.591383,7.440611,8.250584,9.713803,21.840853,6.875993,25.858627,2.800282,28.038651,18.428253,9.981574,1.462305,12.958876,6.240847,9.984631,6.214154
Inventories,436.143907,5.136643,1.760219,1.398168,0.408924,77.190776,51.660647,28.940559,102.824172,149.546276,1.657714,1.194611,0.001054,0.000655,0.0,0.258774,2.028198,3.835124,0.043832,1.314484,0.116487,0.629031,0.914659,2.156694,3.112069
Land,121.808151,8.840081,1.341267,1.34198,0.181335,22.314483,3.477736,2.03509,4.384039,10.301766,1.881936,0.852929,0.881963,0.465958,0.07821,44.18347,0.340235,1.677661,1.913376,1.295508,0.117572,1.19264,2.31872,7.866709,2.453142
Total receipts,6092.467565,51.37851,26.665865,46.963597,8.785053,979.699077,443.805347,303.997753,1156.897112,1287.274315,189.428563,69.361562,44.844205,45.11021,46.872807,86.593476,30.000926,418.048149,31.32791,219.666784,15.377519,233.801138,48.854571,182.56162,124.364972
Business receipts,5974.197102,46.875966,26.1865,43.547849,8.620805,972.336286,438.666884,301.034503,1147.420558,1269.005907,185.357027,68.948205,36.528691,40.257653,45.863226,82.914288,28.52528,410.03041,11.072815,217.462985,15.188052,229.54201,45.835334,179.862573,122.691909
"Net gain, noncapital assets",13.752231,0.317016,0.180205,0.732151,0.00317,1.129233,1.080486,0.735879,1.437918,1.111743,1.669589,0.21364,0.435967,0.131258,0.155761,0.665035,0.749027,0.601551,0.217132,0.406033,0.001983,0.464436,0.196186,0.694874,0.420535
Other receipts,102.190433,4.140213,0.295668,2.627884,0.15074,6.092806,3.92138,2.123901,7.921664,17.038894,2.374007,0.085193,7.776058,4.656268,0.843625,2.792677,0.669664,7.34897,19.256443,1.740616,0.186975,3.781291,2.795977,1.989582,1.238995
Total deductions,5802.941412,50.490426,25.162162,37.701625,8.222266,931.215915,414.658106,288.837957,1120.660394,1267.506926,184.633864,66.6042,43.824697,37.881071,40.021124,82.296858,28.267935,376.389835,25.070524,208.296693,14.207461,209.206499,45.543593,176.624036,119.160314
Cost of goods sold,3771.707473,19.878428,14.755267,19.184035,6.72197,723.17586,300.366689,211.693177,928.088424,1013.398895,72.503488,24.719391,4.788943,0.111896,7.419365,15.693844,10.209787,135.932403,0.100122,103.536128,2.217496,25.929779,9.796886,69.813917,51.51602
Compensation of officers,224.487119,0.83162,0.963221,1.097057,0.224937,29.343631,12.445674,6.994703,19.839092,17.897441,5.17717,4.179043,1.973048,7.784864,5.16802,8.09265,0.890999,42.753427,1.993415,8.67241,0.941268,30.876095,3.943032,5.474916,6.872598
Salaries and wages,611.198408,4.250875,2.331084,3.331156,0.228918,48.734992,32.503645,20.568014,65.47048,84.521693,24.829241,12.691905,12.653281,11.724593,12.941871,25.306381,3.668865,76.832163,3.978774,42.905557,3.919765,56.891946,8.983728,32.433905,19.475832
Repairs,36.804788,1.399219,0.640128,1.022945,0.038877,3.709763,1.996203,1.690358,3.302507,4.84465,3.961541,0.564697,0.282289,0.09776,0.248472,0.901557,0.656571,1.976756,0.342297,1.371417,0.230553,2.15528,0.782087,3.425319,1.162285
Bad debts,11.631546,0.033691,0.040766,0.03337,0.029885,1.35536,0.616012,0.381028,1.506366,1.308619,0.228821,0.201628,2.748676,0.030105,0.062044,0.306095,0.103879,0.54108,0.823781,0.239644,0.058446,0.518587,0.126417,0.082955,0.254222
Rent paid on business property,153.013485,2.770599,0.397816,1.462455,0.081498,15.086195,7.873417,5.372134,13.185111,25.802124,10.635183,2.949706,1.791212,1.252177,1.740273,3.194525,1.834795,13.268983,0.304533,4.911775,1.419276,12.98763,2.803625,13.218269,8.656451
Taxes paid,116.676433,1.01927,0.506238,1.343406,0.087954,15.139968,8.328643,5.329311,12.211354,15.782074,5.356853,1.923965,1.157539,0.958169,1.209993,2.499141,0.827378,11.415276,0.788167,8.152231,0.544027,8.283753,1.817881,7.915436,4.057325
Interest paid,75.343546,1.356935,0.430251,0.837901,0.087045,7.647767,4.498788,3.236315,6.947061,9.967823,2.568747,1.129578,7.258871,1.522961,0.395681,2.416421,1.100133,2.266915,11.505643,1.584699,0.135266,2.158699,1.048107,3.633648,1.575905
Amortization,8.23044,0.080924,0.036295,0.115797,0.020514,0.273819,0.528702,0.41147,0.858325,1.174156,0.208224,0.678957,0.146304,0.079131,0.25575,0.166244,0.042667,0.57458,0.152639,0.332464,0.044151,0.468278,0.326748,0.783615,0.469739
Depreciation,82.440013,2.24316,1.102553,2.075897,0.117047,11.703929,8.280059,6.229701,6.893323,8.121913,8.41485,1.616178,0.672937,0.452918,0.281717,1.420522,4.459597,3.091192,0.622907,2.885752,0.227822,3.013531,1.698466,4.304548,2.499196
Depletion,0.663554,0.014303,0.004778,0.277371,2e-06,0.058388,0.271516,0.022528,0.003145,0.004916,0.00253,0.0,2e-06,2e-05,9.4e-05,0.001016,0.0,0.0,7e-06,0.000182,0.0,0.0,0.0,0.002753,3e-06
Advertising,52.547587,0.171668,0.043333,0.066652,0.017361,3.085336,2.852829,3.126784,5.097422,15.192868,0.542628,0.937526,1.039461,0.546181,0.624253,2.320046,0.294096,4.558378,0.269657,1.717285,0.387878,2.480093,0.914114,4.238898,2.019665
"Pension, profit sharing, stock, annuity",24.567582,0.072276,0.039605,0.209141,0.01068,3.231389,2.228557,1.083531,2.917235,1.470967,0.562938,0.557357,0.171238,0.502185,0.475684,0.708292,0.06341,4.609957,0.237695,0.707074,0.067161,3.824751,0.414908,0.14477,0.251908
Employee benefit programs,53.097913,0.409373,0.140704,0.430539,0.028397,9.057108,6.127537,3.45191,5.443824,6.052868,2.552932,0.919466,0.490947,0.587303,0.719697,0.848572,0.250599,5.386673,0.595902,3.191253,0.198327,3.273098,0.434064,1.272748,1.231989
"Net loss, noncapital assets",1.670812,0.018047,5.5e-05,0.035723,0.000106,0.143229,0.038252,0.086688,0.035795,0.468384,0.033712,0.066974,0.15621,0.089677,0.001593,0.153752,0.020012,0.034532,0.079822,0.023042,0.001531,0.005497,0.021789,0.105264,0.051127
Other deductions,578.860715,15.940039,3.730067,6.178183,0.527075,59.469182,25.701582,19.160309,48.860931,61.497535,47.055006,13.46783,8.493737,12.141134,8.476617,18.267798,3.845146,73.147521,3.275163,28.065779,3.814494,56.339481,12.431742,29.773075,19.06605
Total receipts less total deductions,289.526153,0.888083,1.503703,9.261972,0.562787,48.483162,29.147242,15.159794,36.236718,19.767389,4.794699,2.757362,1.019509,7.229139,6.851683,4.296618,1.732991,41.658314,6.257386,11.370092,1.170058,24.594639,3.310978,5.937583,5.204658
Net income,287.198354,0.842769,1.500209,9.206259,0.552449,48.342411,29.010643,15.056325,36.119746,19.649618,4.76676,2.642838,0.916019,7.164109,6.841489,4.075142,1.676036,41.591095,5.475866,11.312941,1.16955,24.581238,3.283904,5.922993,5.191126
