items,ALL,FARM,FFRA,MINE,UTIL,CNST,DMAN,NMAN,WHTR,RETR,TRAN,INFO,FINC,FINS,INSU,REAL,LEAS,PROF,MGMT,ADMN,EDUC,HLTH,ARTS,ACCM,OTHS
Cash,85.05241899999999,1.587212,0.25691200000000003,1.4675820000000002,0.08982400000000013,12.599944,6.105225000000001,2.7425940000000004,4.762464000000001,7.737572999999998,1.802962,5.108425,2.441083000000001,2.1333839999999995,0.7589699999999997,14.986813000000001,1.1329190000000002,4.567138,9.004843000000001,2.3111049999999995,0.18781099999999995,1.593967000000001,1.5022630000000001,1.8384049999999998,1.1852329999999993
Inventories,100.83033899999998,3.2522130000000002,0.38229599999999997,0.3484830000000001,0.05103100000000002,25.658667,15.350036000000003,5.492784999999998,18.563249999999996,32.107512,0.7896400000000001,0.54767,0.0,0.0,0.0,0.013321,0.5839679999999998,0.8292540000000002,0.0004869999999999996,0.3153919999999999,0.04864699999999998,0.142685,0.57857,0.642936,0.9192179999999999
Land,79.32279300000002,6.142444,1.029332,0.4316310000000001,0.042531999999999986,10.693617,1.5437559999999997,0.6605930000000002,1.3903779999999997,3.8346419999999997,0.6102999999999998,0.663735,0.22354999999999992,0.481355,0.013476000000000002,42.15974,0.338603,0.9896049999999998,0.878976,0.4911270000000001,0.020708000000000004,0.25816899999999987,1.738034,4.016830000000001,1.048261
Total receipts,1112.6320809999997,22.898918999999992,3.4893959999999993,5.220121000000006,1.5604579999999988,175.099518,105.785549,52.44336100000004,172.03114300000004,278.794541,44.773314,22.497850000000007,4.029937999999998,1.9633579999999995,4.164568000000003,13.520388000000004,7.928948000000002,61.80813699999999,2.8997010000000003,46.39130800000001,3.1026440000000015,39.25134800000001,18.587920999999998,44.206714000000005,28.315909000000005
Business receipts,1099.2869380000002,20.883511,3.436997999999999,5.1293739999999985,1.5870199999999999,174.04547200000002,104.626397,52.032276999999965,170.63539400000013,275.520492,44.39516500000002,22.089112999999998,3.0446109999999997,3.028448999999995,4.121476999999999,13.604590000000002,7.509149999999998,61.395659999999964,1.7478099999999994,46.209765000000004,3.0738609999999973,38.882491999999985,18.163404,43.95069299999997,27.72791500000001
"Net gain, noncapital assets",2.904242,0.18924200000000002,0.039598999999999995,0.09411599999999998,0.004140000000000001,0.46296700000000013,0.22365100000000004,0.049863000000000046,0.28598199999999996,0.22222799999999998,0.15779699999999997,0.08903400000000002,0.07263099999999989,0.16392700000000002,0.01460900000000001,0.08369199999999999,0.30880399999999997,0.04439499999999996,0.18106099999999997,0.055360999999999994,0.0,0.055034,0.05726999999999999,0.04477399999999998,0.021608000000000016
Other receipts,10.047896000000009,1.815449,0.012572000000000028,-0.004883000000000415,-0.03076799999999999,0.5588429999999995,0.9210819999999997,0.35655400000000004,1.0945500000000008,3.0415139999999994,0.21629100000000023,0.316829,0.8911169999999995,-1.2516029999999998,0.025506999999999946,-0.20929299999999995,0.10991200000000001,0.3650169999999999,0.7744890000000026,0.12479400000000007,0.028249999999999997,0.31329399999999996,0.3626419999999999,0.209808,0.563553
Total deductions,1201.647516,26.158345999999995,3.996915999999999,6.612637999999997,1.6895429999999996,190.97950999999995,106.58551100000003,54.008328999999975,177.89734299999986,287.7961170000001,47.71253200000001,25.130886999999994,5.494246999999998,4.586910999999997,4.9794569999999965,20.398584,9.362603999999997,68.57865600000002,7.07067,48.47545600000001,3.484463999999999,42.635457,21.06788,49.158072000000004,30.667100999999988
Cost of goods sold,714.4978110000002,10.369118,2.0221370000000007,2.837298999999998,1.4553479999999999,138.581543,70.73831399999997,39.298249999999996,144.42603700000006,222.40964899999994,17.283277,8.220860000000002,0.005181,0.0,0.0,1.010983,2.380058,23.132271000000003,0.000233,22.55098600000001,0.3336899999999998,3.0393560000000015,5.48295,16.46628400000001,11.738039
Compensation of officers,42.193073,0.2492549999999999,0.07214500000000001,0.19746299999999994,0.009395999999999988,6.6353870000000015,3.7645619999999997,0.8723489999999998,2.960984,4.358514000000001,1.182322000000001,1.2877229999999997,0.23075999999999985,0.7334720000000003,0.5869039999999996,1.6488040000000002,0.283115,6.852674999999998,0.39937200000000006,1.970307,0.08579300000000001,4.433911000000002,1.2716119999999997,1.7460499999999994,1.8729680000000002
Salaries and wages,137.730929,1.8053289999999995,0.446229,0.676129,0.046201999999999965,12.191183000000002,9.842925999999999,3.761967000000002,10.454754000000008,19.767716,6.518279,4.620777,1.2597900000000006,1.492661,2.0510149999999996,7.264611,1.215402,14.736923000000004,1.1472040000000003,8.879947000000001,1.3382650000000007,14.369754999999998,4.051714,9.140861999999998,4.962342000000001
Repairs,9.527938000000002,0.658509,0.114975,0.10668200000000005,0.0019710000000000005,0.8997449999999998,0.563971,0.30168700000000004,0.5845910000000001,1.3517289999999997,1.3323039999999997,0.216074,0.061191999999999996,0.033085,0.03961800000000004,0.2507980000000001,0.285674,0.34251999999999994,0.08618799999999999,0.36105300000000007,0.06230299999999997,0.5320229999999999,0.347974,0.92171,0.289999
Bad debts,6.4913799999999995,0.016996999999999998,0.0019319999999999997,0.020545,0.001129999999999999,0.80185,0.49177899999999997,0.09713,0.6040420000000002,0.4373699999999999,0.231058,0.13753100000000001,0.6495000000000002,0.082983,0.042942999999999995,0.561371,0.08269599999999999,0.23582400000000003,1.369969,0.17271000000000003,0.003575999999999996,0.268134,0.140582,0.05795,0.044787999999999994
Rent paid on business property,42.21183099999999,1.523336,0.05643499999999996,0.22516999999999998,0.0072419999999999984,3.859159,2.5681829999999994,1.1761760000000008,3.025595000000001,8.203093000000003,2.752895999999999,1.081125,0.22222999999999993,0.2431699999999999,0.32701,0.995565,0.431265,2.91028,0.09390500000000002,1.2809460000000001,0.293118,3.1843010000000014,1.554447,4.280267,2.790674000000001
Taxes paid,26.965354000000005,0.4648200000000001,0.08134200000000003,0.23221800000000004,0.016461000000000003,3.730633000000001,2.412923,1.1366449999999997,1.846769,3.9706930000000007,1.3392049999999998,0.694526,0.20866700000000005,0.16412500000000008,0.17174199999999984,0.8626870000000002,0.238294,2.079505000000001,0.16438699999999995,1.8549249999999997,0.17030299999999998,1.7640060000000002,0.7180240000000001,2.336196000000001,1.1103139999999998
Interest paid,17.371629,0.6947840000000001,0.10794599999999999,0.15178200000000003,0.015562000000000006,1.9469470000000002,1.1870560000000001,0.618547,1.2390280000000002,1.9254490000000004,0.7937390000000002,1.091641,0.708364,0.16727800000000015,0.083233,0.9389149999999999,0.5068029999999999,0.5354260000000002,1.612057,0.42503599999999997,0.065573,0.4917339999999999,0.590801,1.215089,0.4901540000000001
Amortization,3.4273180000000005,0.025083000000000008,0.014181999999999997,0.070756,0.00115,0.10980299999999998,0.21291700000000002,0.10823699999999997,0.19789,0.45744699999999994,0.104718,0.6767529999999999,0.08688399999999999,0.032565999999999984,0.08837900000000004,0.08578600000000003,0.070985,0.177213,0.03825499999999998,0.08044000000000001,0.07460599999999999,0.09858699999999998,0.137711,0.32405799999999996,0.23245100000000002
Depreciation,30.303147999999993,1.4618839999999997,0.3108599999999999,0.5822600000000002,0.062435000000000004,3.706717000000001,2.954295000000001,1.7373460000000005,1.8635380000000001,3.038015999999999,2.938961999999999,0.807226,0.08894000000000002,0.1003400000000001,0.10436299999999998,0.8803759999999999,2.430493,1.165984,0.17965299999999995,0.9627620000000001,0.09222199999999997,0.9786700000000002,1.170442,2.579902,0.904261
Depletion,0.11226899999999995,0.029691,0.006616,0.045591999999999994,0.0,0.0026580000000000006,0.022285999999999986,0.002926999999999999,1.1000000000000159e-05,0.0009349999999999999,0.002127,0.0,0.0,0.000675,4.6e-05,0.000646,0.0,0.0,2.7e-05,7.200000000000002e-05,0.0,0.0,0.0,0.000196,0.0
Advertising,11.547629,0.04964199999999999,0.008531,0.008225999999999997,0.0008189999999999994,0.7592570000000001,0.9057170000000001,0.5743269999999998,0.6962770000000003,3.5216030000000007,0.195052,0.5296919999999999,0.09408300000000003,0.03464199999999995,0.11873599999999995,0.2859769999999999,0.06501700000000005,1.2268109999999997,0.044040000000000024,0.6562909999999997,0.050729000000000024,0.35060199999999986,0.47246299999999997,0.9333209999999998,0.45654400000000006
"Pension, profit sharing, stock, annuity",3.7748500000000007,0.016431,0.004008000000000001,0.014055000000000012,0.003419,0.4312109999999998,0.5274540000000001,0.14762199999999992,0.2403080000000002,0.19939099999999998,0.05901299999999998,0.18530999999999997,0.009641999999999998,0.05578899999999998,0.026339999999999975,0.097937,0.009882000000000002,0.6785030000000001,0.036787000000000014,0.15352300000000008,0.0026310000000000083,0.9047360000000002,0.08903000000000005,0.022288000000000002,0.078876
Employee benefit programs,12.425905,0.17368699999999998,0.019098000000000004,0.12533499999999997,0.013800999999999999,2.107882,1.6940819999999999,0.5112569999999996,1.1096139999999997,1.3264490000000002,0.621245,0.37641800000000003,0.13796599999999998,0.09797600000000006,0.09705699999999995,0.39134399999999997,0.06865000000000002,1.056648,0.147088,1.0776029999999999,0.10797600000000002,0.8938799999999998,0.19965500000000003,0.30264999999999986,0.33696899999999996
"Net loss, noncapital assets",1.483622,0.003108,0.000558,0.005742999999999998,0.0,0.340538,0.043923000000000004,0.022101999999999997,0.10630400000000001,0.21255600000000002,0.020641,0.005693,0.075628,0.082402,0.028525,0.13054000000000002,0.004576999999999998,0.024480000000000002,0.28036,0.012204999999999999,0.006319000000000001,0.024648,0.0008579999999999994,0.064014,0.003908
Other deductions,141.58282999999994,8.616672999999999,0.7299280000000001,1.313383,0.05460700000000007,14.874995999999996,8.655116000000001,3.6417590000000004,8.541602000000005,16.615508,12.337696000000001,5.199538,1.6554190000000002,1.2657439999999998,1.2135490000000004,4.992244999999999,1.2896960000000002,13.423594999999992,1.471146,8.036652,0.7973600000000003,11.301112999999994,4.8396170000000005,8.767233999999998,5.354815
Total receipts less total deductions,-89.01543500000002,-3.259427,-0.5075209999999999,-1.392516999999999,-0.129085,-15.879991000000004,-0.7999590000000012,-1.564972000000001,-5.866199999999999,-9.001577000000001,-2.9392180000000003,-2.6330360000000006,-1.4643100000000002,-2.6235529999999994,-0.814889,-6.878196000000001,-1.433655,-6.770518000000003,-4.17097,-2.0841480000000008,-0.3818189999999997,-3.3841100000000033,-2.4799590000000005,-4.951356,-2.351191
Net income,-89.40843999999998,-3.270144,-0.507747,-1.394031,-0.12915099999999996,-15.912226999999998,-0.8143820000000019,-1.5696340000000006,-5.8814160000000015,-9.011883000000001,-2.9432799999999997,-2.6359130000000004,-1.4858889999999993,-2.6461379999999988,-0.8178640000000001,-6.919594,-1.4347370000000002,-6.773584,-4.367309999999999,-2.085535,-0.38235399999999986,-3.384636000000004,-2.484564,-4.9527969999999994,-2.354025
