year,Earnings,Kstock,Inv,Depr,Debt,NIP,Tax,NetInc,CashFlow
2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,0.0,0.0,0.0,0.0,0.0,0.0,31.431,-31.431,-31.431
2019,0.0,0.0,0.0,0.0,0.0,0.0,12.934,-12.934,-12.934
2020,0.0,0.0,0.0,0.0,0.0,0.0,-36.052,36.052,36.052
2021,0.0,0.0,0.0,0.0,0.0,0.0,-24.941,24.941,24.941
2022,0.0,0.0,0.0,0.0,0.0,0.0,-18.264,18.264,18.264
2023,0.0,0.0,0.0,0.0,0.0,0.0,-13.348,13.348,13.348
2024,0.0,0.0,0.0,0.0,0.0,0.0,-7.935,7.935,7.935
2025,0.0,0.0,0.0,0.0,0.0,0.0,-3.882,3.882,3.882
2026,0.0,0.0,0.0,0.0,0.0,0.0,-1.088,1.088,1.088
2027,0.0,0.0,0.0,0.0,0.0,0.0,0.351,-0.351,-0.351
