year,ebitda,taxDep,nid,sec199,taxinc,tau,taxbc,ftc,amt,pymtc,gbc,taxrev
2014,2397.819,876.112,138.109,32.956,1350.642,0.347,468.673,101.582,4.72,3.647,26.951,341.213
2015,2415.402,905.16,145.698,33.904,1330.64,0.347,461.732,91.795,4.65,3.732,27.726,343.129
2016,2412.741,875.188,148.126,33.376,1356.05,0.347,470.549,96.318,4.739,3.838,27.295,347.838
2017,2422.111,898.674,160.022,33.231,1330.184,0.347,461.574,99.936,4.649,3.95,27.176,335.16
2018,2426.738,710.988,-2.84,33.593,1684.996,0.28,471.799,96.6,20.47,0.0,27.472,368.197
2019,2440.268,767.693,-3.414,33.87,1642.118,0.28,459.793,97.986,19.949,0.0,27.698,354.057
2020,2467.794,815.702,-3.836,34.004,1621.925,0.28,454.139,103.554,19.703,0.0,27.808,342.481
2021,2518.132,862.172,-4.169,34.428,1625.701,0.28,455.196,109.004,19.749,0.0,28.155,337.787
2022,2586.409,906.738,-4.454,35.135,1648.99,0.28,461.717,114.807,20.032,0.0,28.733,338.21
2023,2679.794,950.237,-4.67,36.191,1698.037,0.28,475.45,121.619,20.628,0.0,29.596,344.863
2024,2781.422,995.251,-4.878,37.469,1753.581,0.28,491.003,127.492,21.303,0.0,30.642,354.172
2025,2887.49,1038.773,-5.094,38.76,1815.052,0.28,508.215,134.141,22.05,0.0,31.697,364.426
2026,3004.258,1080.738,-5.316,40.281,1888.555,0.28,528.795,140.249,22.943,0.0,32.941,378.548
2027,3124.1,1122.792,-5.547,41.889,1964.966,0.28,550.19,145.981,23.871,0.0,34.256,393.825
