Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,year,tau_c,tau_nc,tau_e,tau_amt,depr_3yr_method,depr_3yr_bonus,depr_5yr_method,depr_5yr_bonus,depr_7yr_method,depr_7yr_bonus,depr_10yr_method,depr_10yr_bonus,depr_15yr_method,depr_15yr_bonus,depr_20yr_method,depr_20yr_bonus,depr_25yr_method,depr_25yr_bonus,depr_275yr_method,depr_275yr_bonus,depr_39yr_method,depr_39yr_bonus,depr_land_bonus,inventory_method
0,0,0,0,0,0,2014,0.34700000000000003,0.283637722,0.095454191,0.2,GDS,0.5,GDS,0.5,GDS,0.5,GDS,0.5,GDS,0.5,GDS,0.5,GDS,0,GDS,0,GDS,0,0,Mix
1,1,1,1,1,1,2015,0.34700000000000003,0.284784914,0.09678472199999999,0.2,GDS,0.5,GDS,0.5,GDS,0.5,GDS,0.5,GDS,0.5,GDS,0.5,GDS,0,GDS,0,GDS,0,0,Mix
2,2,2,2,2,2,2016,0.34700000000000003,0.284911335,0.096394563,0.2,GDS,0.5,GDS,0.5,GDS,0.5,GDS,0.5,GDS,0.5,GDS,0.5,GDS,0,GDS,0,GDS,0,0,Mix
3,3,3,3,3,3,2017,0.34700000000000003,0.28465582861993344,0.09552702814978355,0.2,GDS,0.5,GDS,0.5,GDS,0.5,GDS,0.5,GDS,0.5,GDS,0.5,GDS,0,GDS,0,GDS,0,0,Mix
4,4,4,4,4,4,2018,0.34700000000000003,0.2286662100194626,0.09061786691879896,0.2,GDS,0.4,GDS,0.4,GDS,0.4,GDS,0.4,GDS,0.4,GDS,0.4,GDS,0,GDS,0,GDS,0,0,Mix
5,5,5,5,5,5,2019,0.34700000000000003,0.22849430536368331,0.09039216251510478,0.2,GDS,0.3,GDS,0.3,GDS,0.3,GDS,0.3,GDS,0.3,GDS,0.3,GDS,0,GDS,0,GDS,0,0,Mix
6,6,6,6,6,6,2020,0.34700000000000003,0.22867323654783164,0.09042832750764544,0.2,GDS,0.0,GDS,0.0,GDS,0.0,GDS,0.0,GDS,0.0,GDS,0.0,GDS,0,GDS,0,GDS,0,0,Mix
7,7,7,7,7,7,2021,0.34700000000000003,0.2286251893007824,0.09043311495046358,0.2,GDS,0.0,GDS,0.0,GDS,0.0,GDS,0.0,GDS,0.0,GDS,0.0,GDS,0,GDS,0,GDS,0,0,Mix
8,8,8,8,8,8,2022,0.34700000000000003,0.22880808495721627,0.09045358339841891,0.2,GDS,0.0,GDS,0.0,GDS,0.0,GDS,0.0,GDS,0.0,GDS,0.0,GDS,0,GDS,0,GDS,0,0,Mix
9,9,9,9,9,9,2023,0.34700000000000003,0.22922167874955884,0.09057245272233434,0.2,GDS,0.0,GDS,0.0,GDS,0.0,GDS,0.0,GDS,0.0,GDS,0.0,GDS,0,GDS,0,GDS,0,0,Mix
10,10,10,10,10,10,2024,0.34700000000000003,0.22954421272463676,0.0906545749184936,0.2,GDS,0.0,GDS,0.0,GDS,0.0,GDS,0.0,GDS,0.0,GDS,0.0,GDS,0,GDS,0,GDS,0,0,Mix
11,11,11,11,11,11,2025,0.34700000000000003,0.23025985291786988,0.09066618249226499,0.2,GDS,0.0,GDS,0.0,GDS,0.0,GDS,0.0,GDS,0.0,GDS,0.0,GDS,0,GDS,0,GDS,0,0,Mix
12,12,12,12,12,12,2026,0.34700000000000003,0.28461202629436105,0.09535112567202196,0.2,GDS,0.0,GDS,0.0,GDS,0.0,GDS,0.0,GDS,0.0,GDS,0.0,GDS,0,GDS,0,GDS,0,0,Mix
13,13,13,13,13,13,2027,0.34700000000000003,0.28489998879093337,0.09544928612831369,0.2,GDS,0.0,GDS,0.0,GDS,0.0,GDS,0.0,GDS,0.0,GDS,0.0,GDS,0,GDS,0,GDS,0,0,Mix
