year,netinc_pos_base,netinc_neg_base,intpaid_pos_base,intpaid_neg_base,dep_pos_base,dep_neg_base,ebitda_pos_base,ebitda_neg_base
2014,1156.121917,318.679004,41.97205413847142,38.66463377565908,73.8964164894957,68.67942719845398,1271.990387627967,-211.33494302588696
2015,1218.3711301896728,335.83767642664566,44.21623222020722,40.731969421691765,80.44023994523164,74.76126537110254,1343.0276023551119,-220.34444163385137
2016,1266.5846496294048,349.1274827424517,45.51113098727801,41.924829471861514,82.65496545609506,76.81963418942709,1394.750746072778,-230.3830190811631
2017,1329.2895671616081,366.4117677051636,48.59236988013874,44.763265088444285,86.27912498138367,80.18793284445084,1464.1610620231304,-241.46056977226843
2018,1374.1308744666142,378.7720412540797,52.859537030560084,48.69417718024339,88.10226183209679,81.88235864423463,1515.0926733292708,-248.19550542960167
2019,1417.240505270004,390.654987165944,58.12776302853211,53.54726414584627,90.15391045512942,83.78916358737295,1565.5221787536655,-253.31855943272478
2020,1458.7096004402838,402.0857279479701,63.340335750261964,58.34908334320461,89.43712794935493,83.12298497870574,1611.4870641399007,-260.61365962605976
2021,1506.9231198800157,415.3755342637762,68.0983630317979,62.73217552468919,93.15843321676044,86.5815710149086,1668.179916128574,-266.06178772417843
2022,1562.9747540112733,430.82587619992125,72.3812680768908,66.67758535662435,96.68526408252822,89.85941228507615,1732.0412861706923,-274.28887855822074
2023,1624.7682628584155,447.85893609050066,76.11903767309657,70.12081670523311,100.43380369232534,93.34330995510969,1801.3211042238372,-284.39480943015786
2024,1690.8453925253448,466.07275382010255,79.51029347156813,73.24483972909789,104.73502640890894,97.3408720354026,1875.0907124058217,-295.4870420556021
2025,1760.2947343270002,485.21610431659445,82.7345835272553,76.21505400020202,109.08634259379417,101.38499105137356,1952.1156604480498,-307.61605926501886
2026,1833.0251473948758,505.26386507276317,85.89713094670876,79.12839098790126,113.46855140581106,105.45782171584996,2032.3908297473956,-320.677652369012
2027,1909.1277725974771,526.2411585958218,89.05861158269086,82.04074525523848,117.91236890389267,109.58791157461998,2116.0987530840607,-334.61250176596343
